Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Verna || ﺎﻧﺮﻴﻓ,2014,337000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,350000,2025-04-06
Byd || ﻯﺩ ﻯﺍﻭ ﻰﺑ,F3,2018,160000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻗﺮﺸﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,445000,2025-04-06
Toyota || ﺎﺗﻮﻳﻮﺗ,Corolla || ﻻﻭﺭﻮﻛ,2015,158000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺎﻴﻨﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,799000,2025-04-06
Skoda || ﺍﺩﻮﻜﺳ,Kodiaq || ﻙﺎﻳﺩﻮﻛ,2015,158000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺎﻴﻨﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,2600000,2025-04-06
Fiat || ﺕﺎﻴﻓ,Tipo || ﻮﺒﻴﺗ,2020,120000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,500000,2025-04-06
Geely || ﻲﻠﻴﺟ,Emgrand 7 || 7 ﺪﻧﺍﺮﺠﻣﺍ,2018,132000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,400000,2025-04-06
Daewoo || ﻮﻳﺍﺩ,Espero || ﻭﺮﻴﺒﺳﺍ,1994,200000,ﻝﺍﻮﻴﻧﺎﻣ,‎ﺎﻴﻨﻤﻟﺍ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,140000,2025-04-06
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Jetta || ﺎﺘﻴﺟ,2010,245000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,580000,2025-04-06
Peugeot || ﻮﺠﻴﺑ,5008,2022,130000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,1550000,2025-04-06
Exeed || ﺪﻴﻴﺴﻛﺍ,LX,2025,8000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1550000,2025-04-06
Daewoo || ﻮﻳﺍﺩ,Nubira 2 || 2 ﺍﺮﻴﺑﻮﻧ,1999,212000,ﻝﺍﻮﻴﻧﺎﻣ,‎ﺎﻴﻨﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,230000,2025-04-06
Opel || ﻞﺑﻭﺍ,Astra || ﺍﺮﺘﺳﺃ,2015,67000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,700000,2025-04-06
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,RB || Accent RB ﺖﻨﺴﻛﺍ,2016,149000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺮﻬﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,610000,2025-04-06
Suzuki || ﻰﻛﻭﺯﻮﺳ,Swift || ﺖﻔﻳﻮﺳ,2022,57000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻦﻴﺳﺪﻨﻬﻤﻟﺍ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,685000,2025-04-06
Fiat || ﺕﺎﻴﻓ,Tipo || ﻮﺒﻴﺗ,2022,45000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻕﻭﺮﺸﻟﺍ,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,900000,2025-04-06
Fiat || ﺕﺎﻴﻓ,Tipo || ﻮﺒﻴﺗ,2022,130000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,900000,2025-04-06
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Avante || ﻲﺘﻧﺎﻓﺍ,2018,42000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻁﺎﻴﻣﺩ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,965000,2025-04-06
Mercedes || ﺱﺪﻴﺳﺮﻣ,E 300,2019,44000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,3600000,2025-04-06
Skoda || ﺍﺩﻮﻜﺳ,A7 || Octavia A7 ﺎﻴﻓﺎﺘﻛﻭﺍ,2020,176000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,1250000,2025-04-06
Peugeot || ﻮﺠﻴﺑ,3008,2009,160000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﻮﻴﻔﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,500000,2025-04-06
Mercedes || ﺱﺪﻴﺳﺮﻣ,E 200,2002,195000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,800000,2025-04-06
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Elantra CN7 || 7 ﻥﺍ ﻰﺳ ﺍﺮﺘﻨﻟﺇ,2021,195000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺰﻴﺠﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,925000,2025-04-06
Peugeot || ﻮﺠﻴﺑ,3008,2021,93000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻠﺤﻤﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1450000,2025-04-06
Daewoo || ﻮﻳﺍﺩ,Nubira 2 || 2 ﺍﺮﻴﺑﻮﻧ,2003,248000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,290000,2025-04-06
Kia || ﺎﻴﻛ,Cerato || ﻮﺗﺍﺮﻴﺳ,2010,139000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,700000,2025-04-06
Ford || ﺩﺭﻮﻓ,Focus || ﺲﻛﻮﻓ,2013,280000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,520000,2025-04-06
Daewoo || ﻮﻳﺍﺩ,Lanos || ﺱﻮﻧﻻ,2005,250000,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺍﻮﻠﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,225000,2025-04-06
Toyota || ﺎﺗﻮﻳﻮﺗ,Yaris || ﺲﻳﺭﺎﻳ,2008,105000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻥﺍﻮﻠﺣ,ﻯﻭﺎﻤﺳ,ﻦﻳﺰﻨﺑ,550000,2025-04-06
Mitsubishi || ﻲﺸﻴﺑﻮﺴﺘﻴﻣ,Lancer || ﺮﺴﻧﻻ,2003,200000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,350000,2025-04-06
Kia || ﺎﻴﻛ,Cerato || ﻮﺗﺍﺮﻴﺳ,2009,171000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,570000,2025-04-06
Kia || ﺎﻴﻛ,Rio || ﻮﻳﺭ,2001,200000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺑﻮﺘﻛﺃ 6,ﺮﻀﺧﺃ,ﻦﻳﺰﻨﺑ,220000,2025-04-06
BMW || ﻮﻴﻠﺑﺩ ﻡﺍ ﻲﺑ,316,2001,200000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺑﻮﺘﻛﺃ 6,ﺮﻀﺧﺃ,ﻦﻳﺰﻨﺑ,990000,2025-04-06
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2018,175000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻢﻄﻘﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,480000,2025-04-06
Subaru || ﻭﺭﺎﺑﻮﺳ,Impreza || ﺍﺰﻳﺮﺒﻣﺍ,2005,240000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺭﻮﺒﻌﻟﺍ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,420000,2025-04-06
Chery || ﻯﺮﻴﺷ,Tiggo 7 || 7 ﻮﺠﻴﺗ,2023,59500,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,890000,2025-04-06
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Passat || ﺕﺎﺳﺎﺑ,2015,180000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻨﺑ,ﻦﻳﺰﻨﺑ,960000,2025-04-05
Peugeot || ﻮﺠﻴﺑ,5008,2020,110000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,1500000,2025-04-05
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Pointer || ﺮﺘﻨﻳﻮﺑ,2004,170000,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺎﻀﻣﺭ ﻦﻣ ﺮﺷﺎﻌﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,175000,2025-04-05
Fiat || ﺕﺎﻴﻓ,Tipo || ﻮﺒﻴﺗ,2021,149000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,680000,2025-04-05
Kia || ﺎﻴﻛ,Sportage || ﺝﺎﺗﺭﻮﺒﺳ,2020,80000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1400000,2025-04-05
Byd || ﻯﺩ ﻯﺍﻭ ﻰﺑ,F3,2020,350000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,450000,2025-04-05
DFSK || ﻚﺴﻓﺩ,Glory Van || ﻥﺎﻓ ﻯﺭﻮﻠﺟ,2016,126000,ﻝﺍﻮﻴﻧﺎﻣ,ﻁﻮﻴﺳﺃ,ﺎﻛﻮﻣ,ﻦﻳﺰﻨﺑ,420000,2025-04-05
Renault || ﻮﻨﻳﺭ,Duster || ﺮﺘﺳﺍﺩ,2011,83000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,450000,2025-04-05
MG || ﻰﺟ ﻡﺍ,6,2022,70000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,975000,2025-04-05
Toyota || ﺎﺗﻮﻳﻮﺗ,Rush || ﺵﺭ,2022,70000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1300000,2025-04-05
Skoda || ﺍﺩﻮﻜﺳ,Kodiaq || ﻙﺎﻳﺩﻮﻛ,2024,70,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,3200000,2025-04-05
Mercedes || ﺱﺪﻴﺳﺮﻣ,CLA 200,2019,150000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,1690000,2025-04-05
Chery || ﻯﺮﻴﺷ,Tiggo 7 pro max || ﺲﻛﺎﻣ ﻭﺮﺑ 7 ﻮﺠﻴﺗ,2024,100,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺝﺎﻫﻮﺳ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1400000,2025-04-05
Mitsubishi || ﻲﺸﻴﺑﻮﺴﺘﻴﻣ,Lancer || ﺮﺴﻧﻻ,2003,200000,ﻝﺍﻮﻴﻧﺎﻣ,ﺝﺎﻫﻮﺳ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,350000,2025-04-05
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Matrix || ﺲﻜﻳﺮﺗﺎﻣ,2005,155000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺲﻧﺮﻛﺩ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,430000,2025-04-05
BMW || ﻮﻴﻠﺑﺩ ﻡﺍ ﻲﺑ,318,2018,257500,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻰﺘﻨﻳﺪﻣ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,1280000,2025-04-05
Opel || ﻞﺑﻭﺍ,Insignia || ﺎﻴﻨﺠﻴﺴﻧﺃ,2018,257500,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻰﺘﻨﻳﺪﻣ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,900000,2025-04-05
Kia || ﺎﻴﻛ,Rio || ﻮﻳﺭ,2007,230000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺑﻮﺘﻛﺃ 6,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,350000,2025-04-05
Renault || ﻮﻨﻳﺭ,Megane || ﻥﺎﺠﻴﻣ,2006,410000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,330000,2025-04-05
Seat || ﺕﺎﻴﺳ,Toledo || ﻭﺪﻴﻟﻮﺗ,2016,198000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,730000,2025-04-05
Kia || ﺎﻴﻛ,Rio || ﻮﻳﺭ,2015,108000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺰﻴﺠﻟﺍ,ﺎﻛﻮﻣ,ﻦﻳﺰﻨﺑ,550000,2025-04-05
Toyota || ﺎﺗﻮﻳﻮﺗ,Corolla || ﻻﻭﺭﻮﻛ,2015,108000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺰﻴﺠﻟﺍ,ﺎﻛﻮﻣ,ﻦﻳﺰﻨﺑ,1110000,2025-04-05
Volvo || ﻮﻔﻟﻮﻓ,S80,2014,125000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,890000,2025-04-05
Toyota || ﺎﺗﻮﻳﻮﺗ,Yaris || ﺲﻳﺭﺎﻳ,2007,196000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﻖﻣﺎﻏ ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,395000,2025-04-05
Seat || ﺕﺎﻴﺳ,Leon || ﻥﻮﻴﻟ,2021,58000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺲﻳﻮﺴﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1480000,2025-04-05
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Captiva || ﺎﻔﻴﺘﺑﺎﻛ,2021,58000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺲﻳﻮﺴﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1080000,2025-04-05
Nissan || ﻥﺎﺴﻴﻧ,Sentra || ﺍﺮﺘﻨﺳ,2021,58000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺲﻳﻮﺴﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,890000,2025-04-05
Mercedes || ﺱﺪﻴﺳﺮﻣ,C 180,2021,58000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺲﻳﻮﺴﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1250000,2025-04-05
Kia || ﺎﻴﻛ,Sportage || ﺝﺎﺗﺭﻮﺒﺳ,2021,58000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,‎ﺲﻳﻮﺴﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,1450000,2025-04-05
Renault || ﻮﻨﻳﺭ,Megane || ﻥﺎﺠﻴﻣ,2006,315000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,345000,2025-04-05
MG || ﻰﺟ ﻡﺍ,ZS,2006,315000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,900000,2025-04-05
MG || ﻰﺟ ﻡﺍ,ZS,2006,315000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,930000,2025-04-05
Kia || ﺎﻴﻛ,Sorento || ﻮﺘﻨﻳﺭﻮﺳ,2006,315000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,1850000,2025-04-05
Peugeot || ﻮﺠﻴﺑ,3008,2006,315000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,1350000,2025-04-05
Ford || ﺩﺭﻮﻓ,Kuga || ﺎﺟﻮﻛ,2018,198000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,953000,2025-04-05
Peugeot || ﻮﺠﻴﺑ,307,2006,200000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻧﺎﺠﻧﺫﺎﺑ,ﻦﻳﺰﻨﺑ,450000,2025-04-05
Kia || ﺎﻴﻛ,Rio || ﻮﻳﺭ,2015,190000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻣﺎﻄﻘﻟﺍ,ﻲﻨﺑ,ﻦﻳﺰﻨﺑ,550000,2025-04-05
Suzuki || ﻰﻛﻭﺯﻮﺳ,Grand vitara || ﺍﺭﺎﺘﻴﻓ ﺪﻧﺍﺮﺟ,2009,180000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻗﺩﺮﻐﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,380000,2025-04-05
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Captiva || ﺎﻔﻴﺘﺑﺎﻛ,2021,36000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,950000,2025-04-05
Kia || ﺎﻴﻛ,Cerato || ﻮﺗﺍﺮﻴﺳ,2008,155000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,490000,2025-04-05
Honda || ﺍﺪﻧﻮﻫ,Civic || ﻚﻔﻴﺳ,1989,168633,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,190000,2025-04-05
Jeep || ﺐﻴﺟ,Renegade || ﺪﻴﺠﻴﻨﻳﺭ,1989,168633,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1120000,2025-04-05
Audi || ﻱﺩﻭﺍ,Q3,2023,23000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻰﻟﺎﻘﺗﺮﺑ,ﻦﻳﺰﻨﺑ,2550000,2025-04-05
Nissan || ﻥﺎﺴﻴﻧ,Sunny || ﻰﻨﺻ,2020,200000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻠﻴﻋﺎﻤﺳﻹﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,615000,2025-04-05
Toyota || ﺎﺗﻮﻳﻮﺗ,Fortuner || ﺮﻨﺸﺗﺭﻮﻓ,2020,200000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻠﻴﻋﺎﻤﺳﻹﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,2650000,2025-04-05
Mitsubishi || ﻲﺸﻴﺑﻮﺴﺘﻴﻣ,Lancer EX Shark || ﻙﺭﺎﺷ ﺲﻛﺍ ﻯﺍ ﺮﺴﻧﻻ,2020,200000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻠﻴﻋﺎﻤﺳﻹﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,770000,2025-04-05
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2020,200000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻠﻴﻋﺎﻤﺳﻹﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,550000,2025-04-05
Fiat || ﺕﺎﻴﻓ,128,1987,68551,ﻝﺍﻮﻴﻧﺎﻣ,ﺲﻴﺒﻠﺑ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,360677,2025-04-05
Speranza || ﺍﺰﻧﺍﺮﻴﺒﺳﺍ,Envy || ﻰﻔﻧﺍ,2018,241000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﻲﻨﺑ,ﻦﻳﺰﻨﺑ,340000,2025-04-05
Nissan || ﻥﺎﺴﻴﻧ,Sunny || ﻰﻨﺻ,2010,130000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,485000,2025-04-05
Saipa || ﺎﺒﻳﺎﺳ,Pride || ﺪﻳﺍﺮﺑ,2010,130000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,199000,2025-04-05
Renault || ﻮﻨﻳﺭ,Sandero Step Way || ( ﻯﺍﻭ  ﺐﻴﺘﺳ )  ﻭﺮﻳﺪﻧﺎﺳ,2013,109000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻖﻣﺎﻏ ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,355000,2025-04-05
Nissan || ﻥﺎﺴﻴﻧ,Sunny || ﻰﻨﺻ,2010,170000,ﻝﺍﻮﻴﻧﺎﻣ,ﻰﻗﺪﻟﺍ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,450000,2025-04-05
Renault || ﻮﻨﻳﺭ,Clio || ﻮﻴﻠﻛ,1995,180000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﺮﻀﺧﺃ,ﻦﻳﺰﻨﺑ,135000,2025-04-05
Renault || ﻮﻨﻳﺭ,Duster || ﺮﺘﺳﺍﺩ,2017,160000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺭﻮﺒﻌﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,650000,2025-04-05
Suzuki || ﻰﻛﻭﺯﻮﺳ,Ciaz || ﺯﺎﻴﺳ,2015,193000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,475000,2025-04-05
